Algoritmo,Tam_tablero,Estados_recorridos,Val_minimo,poblacion,time_seg
Hill Climbing,4,1,0,NA,0.00013303756713867188
Hill Climbing,4,1,0,NA,0.00010633468627929688
Hill Climbing,4,2,0,NA,0.000171661376953125
Hill Climbing,4,1,1,NA,0.00012350082397460938
Hill Climbing,4,3,0,NA,0.00023865699768066406
Hill Climbing,4,1,0,NA,0.00010228157043457031
Hill Climbing,4,1,0,NA,0.00010061264038085938
Hill Climbing,4,2,0,NA,0.00016951560974121094
Hill Climbing,4,2,0,NA,0.0001685619354248047
Hill Climbing,4,1,0,NA,0.00010228157043457031
Hill Climbing,4,2,0,NA,0.00016880035400390625
Hill Climbing,4,1,0,NA,0.00010204315185546875
Hill Climbing,4,2,0,NA,0.00017499923706054688
Hill Climbing,4,1,0,NA,0.00010204315185546875
Hill Climbing,4,2,0,NA,0.0001652240753173828
Hill Climbing,4,2,0,NA,0.00016450881958007812
Hill Climbing,4,2,0,NA,0.0001633167266845703
Hill Climbing,4,3,0,NA,0.00023126602172851562
Hill Climbing,4,2,0,NA,0.00016546249389648438
Hill Climbing,4,1,0,NA,9.870529174804688e-05
Hill Climbing,4,2,0,NA,0.00016498565673828125
Hill Climbing,4,1,0,NA,0.00010061264038085938
Hill Climbing,4,3,0,NA,0.00023174285888671875
Hill Climbing,4,1,0,NA,0.00010132789611816406
Hill Climbing,4,2,0,NA,0.00016617774963378906
Hill Climbing,4,2,0,NA,0.00016570091247558594
Hill Climbing,4,1,0,NA,9.942054748535156e-05
Hill Climbing,4,3,0,NA,0.00023055076599121094
Hill Climbing,4,1,0,NA,9.942054748535156e-05
Hill Climbing,4,1,0,NA,0.0001227855682373047
Simulated Annealing,4,2,0,NA,0.00017404556274414062
Simulated Annealing,4,1,0,NA,0.000102996826171875
Simulated Annealing,4,2,0,NA,0.00016832351684570312
Simulated Annealing,4,1,0,NA,0.00010037422180175781
Simulated Annealing,4,1,0,NA,9.5367431640625e-05
Simulated Annealing,4,2,0,NA,0.0001277923583984375
Simulated Annealing,4,1,0,NA,6.794929504394531e-05
Simulated Annealing,4,1,0,NA,6.723403930664062e-05
Simulated Annealing,4,2,0,NA,0.00011110305786132812
Simulated Annealing,4,2,0,NA,0.00011420249938964844
Simulated Annealing,4,0,0,NA,2.3126602172851562e-05
Simulated Annealing,4,0,0,NA,2.2172927856445312e-05
Simulated Annealing,4,2,0,NA,0.0001125335693359375
Simulated Annealing,4,2,0,NA,0.00011229515075683594
Simulated Annealing,4,2,0,NA,0.0001125335693359375
Simulated Annealing,4,3,0,NA,0.00016260147094726562
Simulated Annealing,4,3,0,NA,0.00016021728515625
Simulated Annealing,4,2,0,NA,0.00011277198791503906
Simulated Annealing,4,1,0,NA,6.794929504394531e-05
Simulated Annealing,4,1,0,NA,6.794929504394531e-05
Simulated Annealing,4,2,0,NA,0.00011324882507324219
Simulated Annealing,4,1,0,NA,6.771087646484375e-05
Simulated Annealing,4,1,0,NA,6.651878356933594e-05
Simulated Annealing,4,2,0,NA,0.00011157989501953125
Simulated Annealing,4,0,0,NA,2.3365020751953125e-05
Simulated Annealing,4,1,0,NA,6.818771362304688e-05
Simulated Annealing,4,2,0,NA,0.00011444091796875
Simulated Annealing,4,1,0,NA,6.699562072753906e-05
Simulated Annealing,4,1,0,NA,6.699562072753906e-05
Simulated Annealing,4,2,0,NA,0.00011277198791503906
Algoritmo Genetico,4,0,0,90,0.002178668975830078
Algoritmo Genetico,4,0,0,90,0.002145528793334961
Algoritmo Genetico,4,0,0,90,0.0020334720611572266
Algoritmo Genetico,4,0,0,90,0.0020401477813720703
Algoritmo Genetico,4,0,0,90,0.0020530223846435547
Algoritmo Genetico,4,0,0,90,0.002049684524536133
Algoritmo Genetico,4,0,0,90,0.0020563602447509766
Algoritmo Genetico,4,0,0,90,0.0020780563354492188
Algoritmo Genetico,4,0,0,90,0.002074003219604492
Algoritmo Genetico,4,0,0,90,0.002057313919067383
Algoritmo Genetico,4,0,0,90,0.0020508766174316406
Algoritmo Genetico,4,0,0,90,0.002052783966064453
Algoritmo Genetico,4,0,0,90,0.0020575523376464844
Algoritmo Genetico,4,0,0,90,0.0020318031311035156
Algoritmo Genetico,4,0,0,90,0.0020503997802734375
Algoritmo Genetico,4,0,0,90,0.0020303726196289062
Algoritmo Genetico,4,0,0,90,0.001992940902709961
Algoritmo Genetico,4,0,0,90,0.002009868621826172
Algoritmo Genetico,4,0,0,90,0.002002239227294922
Algoritmo Genetico,4,0,0,90,0.0019779205322265625
Algoritmo Genetico,4,0,0,90,0.001986980438232422
Algoritmo Genetico,4,0,0,90,0.0019807815551757812
Algoritmo Genetico,4,0,0,90,0.002012968063354492
Algoritmo Genetico,4,0,0,90,0.002017498016357422
Algoritmo Genetico,4,0,0,90,0.0020232200622558594
Algoritmo Genetico,4,0,0,90,0.0020051002502441406
Algoritmo Genetico,4,0,0,90,0.0020198822021484375
Algoritmo Genetico,4,0,0,90,0.002031087875366211
Algoritmo Genetico,4,0,0,90,0.0020368099212646484
Algoritmo Genetico,4,0,0,90,0.002023935317993164
Hill Climbing,8,2,1,NA,0.0006566047668457031
Hill Climbing,8,3,1,NA,0.0009214878082275391
Hill Climbing,8,2,0,NA,0.0006306171417236328
Hill Climbing,8,3,0,NA,0.0009129047393798828
Hill Climbing,8,3,0,NA,0.0009191036224365234
Hill Climbing,8,2,1,NA,0.0006282329559326172
Hill Climbing,8,3,1,NA,0.0009164810180664062
Hill Climbing,8,3,1,NA,0.0009183883666992188
Hill Climbing,8,3,1,NA,0.0009131431579589844
Hill Climbing,8,2,0,NA,0.0006361007690429688
Hill Climbing,8,2,0,NA,0.0006337165832519531
Hill Climbing,8,2,0,NA,0.0006310939788818359
Hill Climbing,8,2,0,NA,0.00063323974609375
Hill Climbing,8,3,1,NA,0.0009257793426513672
Hill Climbing,8,3,1,NA,0.0009198188781738281
Hill Climbing,8,4,1,NA,0.001201629638671875
Hill Climbing,8,3,1,NA,0.0009212493896484375
Hill Climbing,8,3,1,NA,0.0009191036224365234
Hill Climbing,8,1,0,NA,0.00034308433532714844
Hill Climbing,8,2,0,NA,0.0006268024444580078
Hill Climbing,8,3,1,NA,0.0009410381317138672
Hill Climbing,8,3,0,NA,0.0009245872497558594
Hill Climbing,8,2,1,NA,0.00063323974609375
Hill Climbing,8,3,1,NA,0.0009214878082275391
Hill Climbing,8,3,1,NA,0.0009233951568603516
Hill Climbing,8,2,2,NA,0.0006296634674072266
Hill Climbing,8,3,0,NA,0.0009207725524902344
Hill Climbing,8,2,0,NA,0.0006275177001953125
Hill Climbing,8,3,0,NA,0.0009207725524902344
Hill Climbing,8,3,0,NA,0.0009419918060302734
Simulated Annealing,8,18,0,NA,0.0053517818450927734
Simulated Annealing,8,8,0,NA,0.0024259090423583984
Simulated Annealing,8,9,0,NA,0.002711772918701172
Simulated Annealing,8,5,0,NA,0.0015358924865722656
Simulated Annealing,8,3,0,NA,0.0009305477142333984
Simulated Annealing,8,10,0,NA,0.002992391586303711
Simulated Annealing,8,4,0,NA,0.0012290477752685547
Simulated Annealing,8,16,0,NA,0.004786252975463867
Simulated Annealing,8,2,0,NA,0.0006432533264160156
Simulated Annealing,8,5,0,NA,0.00154876708984375
Simulated Annealing,8,2,0,NA,0.0006415843963623047
Simulated Annealing,8,7,0,NA,0.0021195411682128906
Simulated Annealing,8,3,0,NA,0.0009441375732421875
Simulated Annealing,8,3,0,NA,0.0009324550628662109
Simulated Annealing,8,3,0,NA,0.0009307861328125
Simulated Annealing,8,24,0,NA,0.0071430206298828125
Simulated Annealing,8,4,0,NA,0.0012335777282714844
Simulated Annealing,8,2,0,NA,0.000640869140625
Simulated Annealing,8,37,0,NA,0.010917425155639648
Simulated Annealing,8,28,0,NA,0.008308887481689453
Simulated Annealing,8,2,0,NA,0.0006392002105712891
Simulated Annealing,8,3,0,NA,0.0009279251098632812
Simulated Annealing,8,22,0,NA,0.006557941436767578
Simulated Annealing,8,3,0,NA,0.0009381771087646484
Simulated Annealing,8,6,0,NA,0.0018303394317626953
Simulated Annealing,8,5,0,NA,0.0015215873718261719
